exam-52071.doc,1. 「一、各王侯可以自行決定其統治區內的臣民信仰；二、新教可以保留在1552年以前握有的教會財產；三、羅馬教會的主教改變信仰時須放棄其教區；四、除路德教派外，禁止其他教派。」以上條款規定於那一條約或法案？ ,"['權利法案 ', '西發里亞和約 ', '奧古斯堡和約 ', '沃爾姆斯宗教協定。']",(C)
exam-52071.doc,2.	以下關於戰爭及其影響的配對，何者符合事實？　,"['伯羅奔尼撒戰爭：波斯征服希臘世界\u3000', '赤壁之戰：曹操完成中國統一 ', '英法百年戰爭：戰後兩國俱成焦土，遭西班牙占領 ', '三十年戰爭：宗教寬容獲得承認，近代外交原則建立。']",(D)
exam-52071.doc,3.	1618年，神聖羅馬帝國皇帝的兩名特使在進行宗教談判時，被對手依照懲罰叛國者的習俗，從窗口拋出落入壕溝，成為接下來為哪場戰爭的導火線？ ,"['百年戰爭 ', '三十年戰爭 ', '玫瑰戰爭 ', '西班牙王位繼承戰爭。']",(B)
exam-52071.doc,4.	他有「天上哥倫布」之稱，也是把望遠鏡望向天空的第一人；他發現太陽黑子和銀河，推翻亞里斯多德「天體是完美球體」的理論，並且證明「日心說」的正確。請問這人是 ,"['克卜勒 ', '伽利略 ', '牛頓 ', '哥白尼。']",(B)
exam-52071.doc,5.	宗教改革之後新教教派紛立，其中那一派的教義主張在世間努力工作以光耀神，受到工商業者的歡迎？ ,"['路德派 ', '喀爾文派\u3000', '英國國教派 ', '耶穌會。']",(B)
exam-52071.doc,6.	他雖是啟蒙運動的代表人物之一，但卻不強調絕對理性。他認為道德的基礎是良感而非理性，要求人追尋更深的宗教經驗。因此他既是啟蒙時代的反動者，也是浪漫主義的先驅。請問他是？ ,"['伏爾泰 ', '洛克 ', '孟德斯鳩 ', '盧梭。']",(D)
exam-52071.doc,7.	亞當．斯密被譽為經濟學之父，他的主張被後來的學界稱為「古典經濟學」。以下敘述中，何者符合其大作《國富論》的立場？　      ,"['個人在追求自身最大利益的同時，也提高了社會的整體福利 ', '社會的財富僅限於土地，而且無法創造更多的財富 ', '經濟研究的重點應該在於整體國民經濟，由政府來主導各類事務，以期經濟資源與國民勞務能充分利用\u3000', '解放工人階級的工作必須由工人階級自己來克服。']",(A)
exam-52071.doc,8.	明末士大夫徐光啟受耶穌會傳教士影響而受洗為基督徒，並曾對基督宗教下一評語：「余嘗謂其教必可補儒易佛，而其緒餘更有一種格物窮理之學。」此語反映出何種歷史現象？ ,"['耶穌會傳教士將宗教與學術研究相結合，此種傳教策略相當成功 ', '天主教傳入中國後改變中國文化的本質 ', '宗教改革後教士重新評價東方的文化和宗教 ', '新教教義有助於科學研究的進展。']",(A)
exam-52071.doc,9.	「某部書籍完成於『三十年戰爭』時，它顯示宗教戰爭對於近代歐洲列國與國際秩序的影響」，請問此書名是 ,"['愚人頌 ', '論法的精神 ', '戰爭與和平法 ', '九十五條論證。']",(C)
exam-52071.doc,10.請問明代以後，中國糧食生產量增加的主因是什麼？ ,"['可耕地增加而人口未增 ', '大規模動亂的減少 ', '繁殖力強之新作物的引進 ', '西方機械化農耕技術的引進與推廣。']",(C)
exam-52071.doc,11.一位歷史人物說：「自然及其法則晦隱不明；上帝說，待牛頓出，乃得闡微發覆。」這是說明牛頓的什麼貢獻？ ,"['提出「歸納法」，作為研究科學的普遍法則 ', '使科學不再是神學之附庸 ', '將宇宙萬象納入機械法則中 ', '將理性的原則延伸至啟蒙運動。']",(C)
exam-52071.doc,12.學者指出，有間公司，在十五、十六世紀時經常處理教會的財經業務，並在中歐一帶代理「大赦」(贖罪券)的銷售，甚至資助查理五世競選神聖羅馬帝國皇帝，因此取得美洲開礦的特權。這間公司是 ,"['荷蘭聯合東印度公司 ', '英國聯合東印度公司 ', '麥地奇銀行 ', '富格爾銀行。']",(D)
exam-52071.doc,13.「宗教改革」與「科學革命」是促使西方更進一步發展的兩件大事，二者均加強西方文化中的何種精神？ ,"['反抗權威，肯定個人能力 ', '強調理性，反對任何宗教熱忱 ', '相信理性、科學可以為人類找到永恆的真理 ', '相信認識上帝是體悟真理的唯一途徑。']",(A)
exam-52071.doc,14.十六〜十七世紀歐洲流行重商主義，各國王室普遍認為財富就是囤積貴重金屬，因此中南美洲的黃金白銀不斷地流入歐洲；尤其是流入某國，導致此國物價上漲，連稅收也改成徵銀。請問某國最可能是 ,"['美國 ', '印度 ', '中國 ', '菲律賓。']",(C)
exam-52071.doc,15.十八世紀時，歐洲流行「沙龍」(salon)文化，此一風潮的具體表現為何？ ,"['對中國文化的狂熱與研究 ', '文人哲士於聚會中探討各種問題 ', '女權運動與女性意識的興起 ', '評鑑並創作藝術作品。']",(B)
exam-52071.doc,16.十六、十七世紀，毛織業成為英國的主要生產事業，對羊毛需要量急劇增加。於是，富豪、地主使用暴力或退佃方法把農民從土地上趕走，然後把土地圈圍起來變為牧場，從事大規模的牧羊活動。此一史實反映當時英國農村的那一項變動？　,"['以土地為資產的貴族放棄土地而另謀出路\u3000', '資本主義的經濟影響農村生產，農村逐漸脫離中古以來自給自足的經濟型態\u3000', '強而有力的中央政府直接控制農村，君主權力逐漸凌駕國會之上\u3000', '農村人口大量減少，貴族失去經濟優勢，轉向城市發展商業。']",(B)
exam-52071.doc,17.歐洲許多博物館裡，收藏了不少中國古瓷器，如青花瓷、彩瓷。上面除了有中國的圖像，也有不少當時歐洲的景象。試判斷這些瓷器西傳與下列那一事件發生在同一時期？ ,"['景教東傳 ', '馬可波羅東來 ', '耶穌會士東來 ', '一戰與二戰間的「戰間期」。']",(C)
exam-52071.doc,18.以下是關於倫敦的一段敘述：「猶太人的咖啡店裡，從威尼斯與阿姆斯特丹來的深色眼睛的人，互相地打著招呼並兌換錢幣；在天主教的咖啡店裡，新教徒相信耶穌會的會員在喝咖啡時是在計畫另一場大火，並鑄造銀彈來射擊國王。」這段敘述不應該早於何時？　,"['十六世紀初 ', '十七世紀末 ', '十八世紀初 ', '十八世紀末。']",(A)
